Register;Field;Typ;Accuracy;Unit;Min;Max;Read
0465;Safety_Hardware_Version1;ASCII;;;;;R
0466;Afci_Ver_Firmware;ASCII;;;;;R
0467;Afci_Ver_Sft;ASCII;;;;;R
0468;Afci_Ver_Hard;ASCII;;;;;R
0469;Afci_Srs_Hard;ASCII;;;;;R
046A;Afci_Ver_Com;ASCII;;;;;R
046B;Safety_Package_Version0;ASCII;;;;;R
046C;Safety_Package_Version1;ASCII;;;;;R
0470;Serial_Number8;ASCII;;;;;R
0471;Serial_Number9;ASCII;;;;;R
0472;Serial_Number11_Rsvd0;ASCII;;;;;R
0473;Serial_Number11_Rsvd1;ASCII;;;;;R
0474;Serial_Number12_Rsvd2;ASCII;;;;;R
0475;Serial_Number13_Rsvd3;ASCII;;;;;R
0476;Serial_Number14_Rsvd4;ASCII;;;;;R
0477;State1;U16;;;;;R
0478;State2;U16;;;;;R
0479;State3;U16;;;;;R
047A;State4;U16;;;;;R
047B;State5;U16;;;;;R
047C;State6;U16;;;;;R
047D;State7;U16;;;;;R
047E;State8;U16;;;;;R
047F;State9;U16;;;;;R
0480;AddressMask_Realtime_GridOutput1;U64;;;;;R
0481;;;;;;;
0482;;;;;;;
0483;;;;;;;
0484;Frequency_Grid;U16;0,01;Hz;;;R
0485;ActivePower_Output_Total;I16;0,01;kW;;;R
0486;ReactivePower_Output_Total;I16;0,01;kW;;;R
0487;ApparentPower_Output_Total;I16;0,01;kW;;;R
0488;ActivePower_PCC_Total;I16;0,01;kW;;;R
0489;ReactivePower_PCC_Total;I16;0,01;kW;;;R
048A;ApparentPower_PCC_Total;I16;0,01;kW;;;R
048B;GridOutput_Rsvd1;;;;;;R
048C;GridOutput_Rsvd2;;;;;;R
048D;Voltage_Phase_R;U16;0,1;V;;;R
048E;Current_Output_R;U16;0,01;A;;;R
048F;ActivePower_Output_R;I16;0,01;kW;;;R
0490;ReactivePower_Output_R;I16;0,01;kW;;;R
0491;PowerFactor_Output_R;I16;0,001;p.u.;;;R
0492;Current_PCC_R;U16;0,01;A;;;R
0493;ActivePower_PCC_R;I16;0,01;kW;;;R
0494;ReactivePower_PCC_R;I16;0,01;kW;;;R
0495;PowerFactor_PCC_R;I16;0,001;p.u.;;;R
0496;R_Rsvd1;;;;;;R
0497;R_Rsvd2;;;;;;R
0498;Voltage_Phase_S;U16;0,1;V;;;R
0499;Current_Output_S;U16;0,01;A;;;R
049A;ActivePower_Output_S;I16;0,01;kW;;;R
049B;ReactivePower_Output_S;I16;0,01;kW;;;R
049C;PowerFactor_Output_S;I16;0,001;p.u.;;;R
049D;Current_PCC_S;U16;0,01;A;;;R
049E;ActivePower_PCC_S;I16;0,01;kW;;;R
049F;ReactivePower_PCC_S;I16;0,01;kW;;;R
04A0;PowerFactor_PCC_S;I16;0,001;p.u.;;;R
04A1;S_Rsvd1;;;;;;R
04A2;S_Rsvd2;;;;;;R
04A3;Voltage_Phase_T;U16;0,1;V;;;R
04A4;Current_Output_T;U16;0,01;A;;;R
04A5;ActivePower_Output_T;I16;0,01;kW;;;R
04A6;ReactivePower_Output_T;I16;0,01;kW;;;R
04A7;PowerFactor_Output_T;I16;0,001;p.u.;;;R
04A8;Current_PCC_T;U16;0,01;A;;;R
04A9;ActivePower_PCC_T;I16;0,01;kW;;;R
04AA;ReactivePower_PCC_T;I16;0,01;kW;;;R
04AB;PowerFactor_PCC_T;I16;0,001;p.u.;;;R
04AC;T_Rsvd1;;;;;;R
04AD;T_Rsvd2;;;;;;R
04AE;ActivePower_PV_Ext;U16;0,01;kW;;;R
04AF;ActivePower_Load_Sys;U16;0,01;kW;;;R
04B0;Voltage_Phase_L1N;U16;0,1;V;;;R
04B1;Current_Output_L1N;U16;0,01;A;;;R
04B2;ActivePower_Output_L1N;I16;0,01;kW;;;R
04B3;Current_PCC_L1N;U16;0,01;A;;;R
04B4;ActivePower_PCC_L1N;I16;0,01;kW;;;R
04B5;Voltage_Phase_L2N;U16;0,1;V;;;R
04B6;Current_Output_L2N;U16;0,01;A;;;R
04B7;ActivePower_Output_L2N;I16;0,01;kW;;;R
04B8;Current_PCC_L2N;U16;0,01;A;;;R
04B9;ActivePower_PCC_L2N;I16;0,01;kW;;;R
04BA;Voltage_Line_L1;U16;0,1;V;;;R
04BB;Voltage_Line_L2;U16;0,1;V;;;R
04BC;Voltage_Line_L3;U16;0,1;V;;;R
04BD;Power_Factor;I16;0,001;p.u.;;;R
0500;AddressMask_Realtime_EmergencyOutput1;U64;;;;;R
0501;;;;;;;
0502;;;;;;;
0503;;;;;;;
0504;ActivePower_Load_Total;I16;0,01;kW;;;R
0505;ReactivePower_Load_Total;I16;0,01;kW;;;R
0506;ApparentPower_Load_Total;I16;0,01;kW;;;R
0507;Frequency_Output;U16;0,01;Hz;;;R
0508;ESOutput_Rsvd1;;;;;;R
0509;ESOutput_Rsvd2;;;;;;R
050A;Voltage_Output_R;U16;0,1;V;;;R
050B;Current_Load_R;I16;0,01;A;;;R
050C;ActivePower_Load_R;I16;0,01;kW;;;R
050D;ReactivePower_Load_R;I16;0,01;kW;;;R
050E;ApparentPower_Load_R;I16;0,01;kVA;;;R
050F;LoadPeakRatio_R;U16;0,01;p.u.;;;R
0510;ESR_Rsvd1;;;;;;R
0511;ESR_Rsvd2;;;;;;R
0512;Voltage_Output_S;U16;0,1;V;;;R
0513;Current_Load_S;I16;0,01;A;;;R
0514;ActivePower_Load_S;I16;0,01;kW;;;R
0515;ReactivePower_Load_S;I16;0,01;kW;;;R
0516;ApparentPower_Load_S;I16;0,01;kVA;;;R
0517;LoadPeakRatio_S;U16;0,01;p.u.;;;R
0518;ESS_Rsvd1;;;;;;R
0519;ESS_Rsvd2;;;;;;R
051A;Voltage_Output_T;U16;0,1;V;;;R
051B;Current_Load_T;I16;0,01;A;;;R
051C;ActivePower_Load_T;I16;0,01;kW;;;R
051D;ReactivePower_Load_T;I16;0,01;kW;;;R
051E;ApparentPower_Load_T;I16;0,01;kVA;;;R
051F;LoadPeakRatio_T;U16;0,01;p.u.;;;R
0520;EST_Rsvd1;;;;;;R
0521;EST_Rsvd2;;;;;;R
0522;Voltage_Output_L1N;U16;0,1;V;;;R
0523;Current_Load_L1N;I16;0,01;A;;;R
0524;ActivePower_Load_L1N;I16;0,01;kW;;;R
0525;Voltage_Output_L2N;U16;0,1;V;;;R
0526;Current_Load_L2N;I16;0,01;A;;;R
0527;ActivePower_Load_L2N;I16;0,01;kW;;;R
0580;AddressMask_Realtime_Input_PV1;U64;;;;;R
0581;;;;;;;
0582;;;;;;;
0583;;;;;;;
0584;Voltage_PV1;U16;0,1;V;;;R
0585;Current_PV1;U16;0,01;A;;;R
0586;Power_PV1;U16;0,01;kW;;;R
0587;Voltage_PV2;U16;0,1;V;;;R
0588;Current_PV2;U16;0,01;A;;;R
0589;Power_PV2;U16;0,01;kW;;;R
058A;Voltage_PV3;U16;0,1;V;;;R
058B;Current_PV3;U16;0,01;A;;;R
058C;Power_PV3;U16;0,01;kW;;;R
058D;Voltage_PV4;U16;0,1;V;;;R
058E;Current_PV4;U16;0,01;A;;;R
058F;Power_PV4;U16;0,01;kW;;;R
0590;Voltage_PV5;U16;0,1;V;;;R
0591;Current_PV5;U16;0,01;A;;;R
0592;Power_PV5;U16;0,01;kW;;;R
0593;Voltage_PV6;U16;0,1;V;;;R
0594;Current_PV6;U16;0,01;A;;;R
0595;Power_PV6;U16;0,01;kW;;;R
0596;Voltage_PV7;U16;0,1;V;;;R
0597;Current_PV7;U16;0,01;A;;;R
0598;Power_PV7;U16;0,01;kW;;;R
0599;Voltage_PV8;U16;0,1;V;;;R
059A;Current_PV8;U16;0,01;A;;;R
059B;Power_PV8;U16;0,01;kW;;;R
059C;Voltage_PV9;U16;0,1;V;;;R
059D;Current_PV9;U16;0,01;A;;;R
059E;Power_PV9;U16;0,01;kW;;;R
059F;Voltage_PV10;U16;0,1;V;;;R
05A0;Current_PV10;U16;0,01;A;;;R
05A1;Power_PV10;U16;0,01;kW;;;R
05A2;Voltage_PV11;U16;0,1;V;;;R
05A3;Current_PV11;U16;0,01;A;;;R
05A4;Power_PV11;U16;0,01;kW;;;R
05A5;Voltage_PV12;U16;0,1;V;;;R
05A6;Current_PV12;U16;0,01;A;;;R
05A7;Power_PV12;U16;0,01;kW;;;R
05A8;Voltage_PV13;U16;0,1;V;;;R
05A9;Current_PV13;U16;0,01;A;;;R
05AA;Power_PV13;U16;0,01;kW;;;R
05AB;Voltage_PV14;U16;0,1;V;;;R
05AC;Current_PV14;U16;0,01;A;;;R
05AD;Power_PV14;U16;0,01;kW;;;R
05AE;Voltage_PV15;U16;0,1;V;;;R
05AF;Current_PV15;U16;0,01;A;;;R
05B0;Power_PV15;U16;0,01;kW;;;R
05B1;Voltage_PV16;U16;0,1;V;;;R
05B2;Current_PV16;U16;0,01;A;;;R
05B3;Power_PV16;U16;0,01;kW;;;R
05C0;AddressMask_Realtime_Input_PV2;U64;;;;;R
