Register;Field;Typ;Accuracy;Unit;Min;Max;Read
0747;Current_Group2_Branch4;U16;0,01;A;;;R
0748;Current_Group3_Branch3;U16;0,01;A;;;R
0749;Current_Group3_Branch4;U16;0,01;A;;;R
074A;Current_Group4_Branch3;U16;0,01;A;;;R
074B;Current_Group4_Branch4;U16;0,01;A;;;R
074C;Current_Group5_Branch3;U16;0,01;A;;;R
074D;Current_Group5_Branch4;U16;0,01;A;;;R
074E;Current_Group6_Branch3;U16;0,01;A;;;R
074F;Current_Group6_Branch4;U16;0,01;A;;;R
0750;Current_Group7_Branch3;U16;0,01;A;;;R
0751;Current_Group7_Branch4;U16;0,01;A;;;R
0752;Current_Group8_Branch3;U16;0,01;A;;;R
0753;Current_Group8_Branch4;U16;0,01;A;;;R
0754;Current_Group9_Branch3;U16;0,01;A;;;R
0755;Current_Group9_Branch4;U16;0,01;A;;;R
0756;Current_Group10_Branch3;U16;0,01;A;;;R
0757;Current_Group10_Branch4;U16;0,01;A;;;R
0758;Current_Group11_Branch3;U16;0,01;A;;;R
0759;Current_Group11_Branch4;U16;0,01;A;;;R
075A;Current_Group12_Branch3;U16;0,01;A;;;R
075B;Current_Group12_Branch4;U16;0,01;A;;;R
075C;Current_Group13_Branch3;U16;0,01;A;;;R
075D;Current_Group13_Branch4;U16;0,01;A;;;R
075E;Current_Group14_Branch3;U16;0,01;A;;;R
075F;Current_Group14_Branch4;U16;0,01;A;;;R
0760;Current_Group15_Branch3;U16;0,01;A;;;R
0761;Current_Group15_Branch4;U16;0,01;A;;;R
0762;Current_Group16_Branch3;U16;0,01;A;;;R
0763;Current_Group16_Branch4;U16;0,01;A;;;R
0780;AddressMask_Realtime_ArcInfo3;U64;;;;;R
0781;;;;;;;
0782;;;;;;;
0783;;;;;;;
0784;ArcStrength_Channel1;I16;1;;;;R
0785;ArcStrength_Channel2;I16;1;;;;R
0786;ArcStrength_Channel3;I16;1;;;;R
0787;ArcStrength_Channel4;I16;1;;;;R
0788;ArcStrength_Channel5;I16;1;;;;R
0789;ArcStrength_Channel6;I16;1;;;;R
078A;ArcStrength_Channel7;I16;1;;;;R
078B;ArcStrength_Channel8;I16;1;;;;R
078C;ArcStrength_Channel9;I16;1;;;;R
078D;ArcStrength_Channel10;I16;1;;;;R
078E;ArcStrength_Channel11;I16;1;;;;R
078F;ArcStrength_Channel12;I16;1;;;;R
0790;ArcStrength_Channel13;I16;1;;;;R
0791;ArcStrength_Channel14;I16;1;;;;R
0792;ArcStrength_Channel15;I16;1;;;;R
0793;ArcStrength_Channel16;I16;1;;;;R
0794;ArcStrength_Channel17;I16;1;;;;R
0795;ArcStrength_Channel18;I16;1;;;;R
0796;ArcStrength_Channel19;I16;1;;;;R
0797;ArcStrength_Channel20;I16;1;;;;R
0798;ArcStrength_Channel21;I16;1;;;;R
0799;ArcStrength_Channel22;I16;1;;;;R
079A;ArcStrength_Channel23;I16;1;;;;R
079B;ArcStrength_Channel24;I16;1;;;;R
079C;ArcStrength_Channel25;I16;1;;;;R
079D;ArcStrength_Channel26;I16;1;;;;R
079E;ArcStrength_Channel27;I16;1;;;;R
079F;ArcStrength_Channel28;I16;1;;;;R
07A0;ArcStrength_Channel29;I16;1;;;;R
07A1;ArcStrength_Channel30;I16;1;;;;R
07A2;ArcStrength_history_Channel1;I16;1;;;;R
07A3;ArcStrength_history_Channel2;I16;1;;;;R
07A4;ArcStrength_history_Channel3;I16;1;;;;R
07A5;ArcStrength_history_Channel4;I16;1;;;;R
07A6;ArcStrength_history_Channel5;I16;1;;;;R
07A7;ArcStrength_history_Channel6;I16;1;;;;R
07A8;ArcStrength_history_Channel7;I16;1;;;;R
07A9;ArcStrength_history_Channel8;I16;1;;;;R
07AA;ArcStrength_history_Channel9;I16;1;;;;R
07AB;ArcStrength_history_Channel10;I16;1;;;;R
07AC;ArcStrength_history_Channel11;I16;1;;;;R
07AD;ArcStrength_history_Channel12;I16;1;;;;R
07AE;ArcStrength_history_Channel13;I16;1;;;;R
07AF;ArcStrength_history_Channel14;I16;1;;;;R
07B0;ArcStrength_history_Channel15;I16;1;;;;R
07B1;ArcStrength_history_Channel16;I16;1;;;;R
07B2;ArcStrength_history_Channel17;I16;1;;;;R
07B3;ArcStrength_history_Channel18;I16;1;;;;R
07B4;ArcStrength_history_Channel19;I16;1;;;;R
07B5;ArcStrength_history_Channel20;I16;1;;;;R
07B6;ArcStrength_history_Channel21;I16;1;;;;R
07B7;ArcStrength_history_Channel22;I16;1;;;;R
07B8;ArcStrength_history_Channel23;I16;1;;;;R
07B9;ArcStrength_history_Channel24;I16;1;;;;R
07BA;ArcStrength_history_Channel25;I16;1;;;;R
07BB;ArcStrength_history_Channel26;I16;1;;;;R
07BC;ArcStrength_history_Channel27;I16;1;;;;R
07BD;ArcStrength_history_Channel28;I16;1;;;;R
07BE;ArcStrength_history_Channel29;I16;1;;;;R
07BF;ArcStrength_history_Channel30;I16;1;;;;R
07C0;AddressMask_Realtime_ArcInfo4;U64;;;;;R;;;;;;;
07C1;;;;;;;
07C2;;;;;;;
07C3;;;;;;;
07C4;arc_peak_to_peak;U16;1;;;;R
07C5;arc_variance;U16;1;;;;R
07C6;arc_harmonic_energy;U16;1;;;;R
07C7;arc_amplitude_variance;U16;1;;;;R
0800;ConnectWaitTime;U16;1;?;1;65535;RW
0801;PowerUpSpeed;U16;1;%Pn/min;1;3000;RW
0802;ReconnectWaitTime;U16;1;?;1;65535;RW
0803;ReconnectPowerUpSpeed;U16;1;%Pn/min;1;3000;RW
0804;VoltHighLimit;U16;0,1;V;0;65535;RW
0805;VoltLowLimit;U16;0,1;V;0;65535;RW
0806;FreqHighLimit;U16;0,01;Hz;4000;7000;RW
0807;FreqLowLimit;U16;0,01;Hz;4000;7000;RW
0808;ReconnectVoltHighLimit;U16;0,1;V;0;65535;RW
0809;ReconnectVoltLowLimit;U16;0,1;V;0;65535;RW
080A;ReconnectFreqHighLimit;U16;0,01;Hz;4000;7000;RW
080B;ReconnectFreqLowLimit;U16;0,01;Hz;4000;7000;RW;;;;;;;
0840;Voltage Config;U16;;;;;RW
0841;RatedVoltage;U16;0,1;V;0;65535;RW
0842;FirstOvervoltageProtectionValue;U16;0,1;V;0;65535;RW
0843;FirstOvervoltageProtectionTime;U16;10;ms;1;65535;RW
0844;SecondOvervoltageProtectionValue;U16;0,1;V;0;65535;RW
0845;SecondOvervoltageProtectionTime;U16;10;ms;1;65535;RW
0846;ThirdOvervoltageProtectionValue;U16;0,1;V;0;65535;RW
0847;ThirdOvervoltageProtectionTime;U16;10;ms;1;65535;RW
0848;FirstUnderVoltageProtectionValue;U16;0,1;V;0;65535;RW
0849;FirstUndervoltageProtectionTime;U16;10;ms;1;65535;RW
084A;SecondUnderVoltageProtectionValue;U16;0,1;V;0;65535;RW
084B;SecondUndervoltageProtectionTime;U16;10;ms;1;65535;RW
084C;ThirdUnderVoltageProtectionValue;U16;0,1;V;0;65535;RW
084D;ThirdUndervoltageProtectionTime;U16;10;ms;1;65535;RW
084E;10MinOvervoltageProtectionValue;U16;0,1;V;0;65535;RW
084F;FirstOvervoltageProtectionTimeHi;U16;;;0;255;RW
0850;SecondOvervoltageProtectionTimeHi;U16;;;0;255;RW
0851;ThirdOvervoltageProtectionTimeHi;U16;;;0;255;RW
0880;FrequencyConfig;U16;;;;;RW
0881;RatedFrequency;U16;0,01;Hz;4000;7000;RW
0882;FirstOverfrequencyProtectionValue;U16;0,01;Hz;4000;7000;RW
0883;FirstOverfrequencyProtectionTime;U16;10;ms;1;65535;RW
0884;SecondOverfrequencyProtectionValue;U16;0,01;Hz;4000;7000;RW
0885;SecondOverfrequencyProtectionTime;U16;10;ms;1;65535;RW
0886;ThirdOverfrequencyProtectionValue;U16;0,01;Hz;4000;7000;RW
0887;ThirdOverfrequencyProtectionTime;U16;10;ms;1;65535;RW
0888;FirstUnderfrequencyProtectionValue;U16;0,01;Hz;4000;7000;RW
0889;FirstUnderfrequencyProtectionTime;U16;10;ms;1;65535;RW
088A;SecondUnderfrequencyProtectionValue;U16;0,01;Hz;4000;7000;RW
088B;SecondUnderfrequencyProtectionTime;U16;10;ms;1;65535;RW
088C;ThirdUnderfrequencyProtectionValue;U16;0,01;Hz;4000;7000;RW
088D;ThirdUnderfrequencyProtectionTime;U16;10;ms;1;65535;RW
088E;FirstOverfrequencyProtectionTimeHi;U16;;;0;255;RW
088F;SecondOverfrequencyProtectionTimeHi;U16;;;0;255;RW
0890;ThirdOverfrequencyProtectionTimeHi;U16;;;0;255;RW
0891;FirstUnderfrequencyProtectionTimeHi;U16;;;0;255;RW
0892;SecondUnderfrequencyProtectionTimeHi;U16;;;0;255;RW
0893;ThirdUnderfrequencyProtectionTimeHi;U16;;;0;255;RW
08C0;DCI Config;U16;;;;;RW
08C1;DCIFirstProtectionValue;U16;1;mA;1;65535;RW
08C2;DCIFirstProtectionTime;U16;10;ms;1;65535;RW
08C3;DCISecondProtectionValue;U16;1;mA;1;65535;RW
08C4;DCISecondProtectionTime;U16;10;ms;1;65535;RW
08C5;DCIThirdProtectionValue;U16;1;mA;1;65535;RW
08C6;DCIThirdProtectionTime;U16;10;ms;1;65535;RW
08C7;DCITestValue1;I16;1;mA;-32768;32767;RW
08C8;DCITestValue2;I16;1;mA;-32768;32767;RW
08C9;DCITestValue3;I16;1;mA;-32768;32767;RW
08CA;DCIFirstProtectionProportion;U16;0,01;%;1;65535;RW
08CB;DCISecondProtectionProportion;U16;0,01;%;1;65535;RW
08CC;DCIThirdProtectionProportion;U16;0,01;%;1;65535;RW
0900;Remote Config;U16;;;;;RW
0901;ActiveOutputLimit;U16;0,1;%;0;1000;RW
0902;ActiveOutputDownSpeed;U16;1;%Pn/min;1;300;RW
0903;GridVoltageDropStart;U16;0,1;V;0;65535;RW
0904;GridVoltageDropStop;U16;0,1;V;0;65535;RW
0905;GridVoltageDropMinPower;I16;1;%;-100;100;RW
0906;OvervoltageDownSpeed;U16;1;%Pn/min;1;300;RW
0907;ChgDerateVoltStart;U16;0,1;V;0;65535;RW
0908;ChgDerateVoltEnd;U16;0,1;V;0;65535;RW
0909;ChgDerateMinPower;I16;1;%;-100;100;RW
090A;PowerForLogic1 -- 8;I16;1;%;-100;100;RW
090B;PowerForLogic1 -- 8;I16;1;%;-100;100;RW
090C;PowerForLogic1 -- 8;I16;1;%;-100;100;RW
090D;PowerForLogic1 -- 8;I16;1;%;-100;100;RW
090E;PowerForLogic1 -- 8;I16;1;%;-100;100;RW
090F;PowerForLogic1 -- 8;I16;1;%;-100;100;RW
0910;PowerForLogic1 -- 8;I16;1;%;-100;100;RW
0911;PowerForLogic1 -- 8;I16;1;%;-100;100;RW
0912;RefluxPower;U16;1;%;0;100;RW
0913;RefluxOVloadTime;U16;10;ms;0;65535;RW
0914;LogicDerateSpeed;U16;1;%Pn/min;1;65535;RW
0915;LogicReloadSpeed;U16;1;%Pn/min;1;65535;RW
0916;VoltageDerateResponseTime;U16;1;?;0;65535;RW
0917;PowerDownSpeed;U16;1;%Pn/min;1;3000;RW
0940;FrequencyDerateConfig;U16;;;;;RW
0941;OverfrequencyStart;U16;0,01;Hz;4000;7000;RW
0942;OverfrequencyEnd;U16;0,01;Hz;4000;7000;RW
0943;OverfrequencySlope;U16;1;%Pn/Hz;1;300;RW
0944;OverfrequencyResponseDelay;U16;10;ms;0;65535;RW
0945;OverfrequencyReloadDelay;U16;10;ms;0;65535;RW
0946;OverfrequencyReloadStart;U16;0,01;Hz;4000;7000;RW
0947;OverfrequencyReloadSpeed;U16;1;%Pn/min;1;300;RW
0948;UnderfrequencyStart;U16;0,01;Hz;4000;7000;RW
0949;UnderfrequencyEnd;U16;0,01;Hz;4000;7000;RW
094A;UnderfrequencySlope;U16;1;%Pn/Hz;1;300;RW
094B;UnderfrequencyResponseDelay;U16;10;ms;0;65535;RW
094C;UnderfrequencyReloadDelay;U16;10;ms;0;65535;RW
094D;UnderfrequencyReloadStart;U16;0,01;Hz;4000;7000;RW
094E;UnderfrequencyReloadSpeed;U16;1;%Pn/min;1;300;RW
094F;FrequencyRecoverMax;U16;0,01;Hz;4000;7000;RW
0950;FrequencyRecoverMin;U16;0,01;Hz;4000;7000;RW
0951;ESSOverFrequencyStart;U16;0,01;Hz;4000;7000;RW
0952;ESSOverfrequencyEnd;U16;0,01;Hz;4000;7000;RW
0953;ESSOverFrequencySlope;U16;1;%Pn/Hz;1;300;RW
0954;ESSOverFrequencyResponseDelay;U16;10;ms;0;65535;RW
0955;ESSOverFrequencyReloadDelay;U16;10;ms;0;65535;RW
0956;ESSOverfrequencyReloadStart;U16;0,01;Hz;4000;7000;RW
0957;ESSOverFrequencyReloadSpeed;U16;1;%Pn/min;1;300;RW
0958;ESSUnderFrequencyStart;U16;0,01;Hz;4000;7000;RW
0959;ESSUnderfrequencyEnd;U16;0,01;Hz;4000;7000;RW
095A;ESSUnderFrequencySlope;U16;1;%Pn/Hz;1;300;RW
095B;ESSUnderFrequencyResponseDelay;U16;10;ms;0;65535;RW
095C;ESSUnderFrequencyReloadDelay;U16;10;ms;0;65535;RW
095D;ESSUnderfrequencyReloadStart;U16;0,01;Hz;4000;7000;RW
095E;ESSUnderFrequencyReloadSpeed;U16;1;%Pn/min;1;300;RW
095F;ESSFrequencyRecoverMax;U16;0,01;Hz;4000;7000;RW
0960;ESSFrequencyRecoverMin;U16;0,01;Hz;4000;7000;RW
0961;ESSOverFrequencyTransition;U16;0,01;Hz;4000;7000;RW
0962;ESSUnderFrequencyTransition;U16;0,01;Hz;4000;7000;RW
0980;ReactiveConfig;U16;;;;;RW
0981;PowerFactor;I16;0,0001;;-10000;10000;RW
0982;FixedReactivePercentage;I16;0,01;%;-6000;6000;RW
0983;ReactiveCos1;I16;0,0001;;-10000;10000;RW
0984;ReactivedynamicValue1;I16;1;%;-100;100;RW
0985;ReactiveCos2;I16;0,0001;;-10000;10000;RW
0986;ReactivedynamicValue2;I16;1;%;-100;100;RW
0987;ReactiveCos3;I16;0,0001;;-10000;10000;RW
0988;ReactivedynamicValue3;I16;1;%;-100;100;RW
0989;ReactiveCos4;I16;0,0001;;-10000;10000;RW
098A;ReactivedynamicValue4;I16;1;%;-100;100;RW
098B;LockinV;U16;1;%;0;200;RW
098C;LockoutV;U16;1;%;0;200;RW
098D;HighVoltStartValue4;U16;1;%;0;200;RW
098E;HighVoltEndValue4;U16;1;%;0;200;RW
098F;LowVoltStartValue4;U16;1;%;0;200;RW
0990;LowVoltEndValue4;U16;1;%;0;200;RW
0991;LockinPower4;U16;1;%;0;100;RW
0992;LockoutPower4;U16;1;%;0;100;RW
0993;MaxLeadingReactivePower4;U16;0,01;%Pn;0;10000;RW
0994;ReactiveResponseWaitTime4;U16;10;ms;0;65535;RW
0995;ReactivePowerOffset4;I16;0,01;%Qmax;-10000;10000;RW
0996;ReactivePowerStart4;U16;0,01;%Pn;-10000;10000;RW
0997;HighVoltStartValue5;U16;1;%;0;200;RW
0998;HighVoltEndValue5;U16;1;%;0;200;RW
0999;LowVoltStartValue5;U16;1;%;0;200;RW
099A;LowVoltEndValue5;U16;1;%;0;200;RW
099B;LockinPower5;U16;1;%;0;100;RW
099C;LockoutPower5;U16;1;%;0;100;RW
099D;MaxReactivePower5;U16;0,01;%;0;10000;RW
099E;ReactiveResponseWaitTime5;U16;10;ms;0;65535;RW
099F;PhaseType;U16;;;0;2;RW
09A0;ReactiveResponsePeriod;U16;1;?;1;65535;RW
09A1;MaxLaggingReactivePower4;U16;0,01;%Pn;0;10000;RW
09C0;VRTConfig;U16;;;;;RW
09C1;LvrtInVolt;U16;1;%;0;65535;RW
09C2;LvrtFirstPointVolt;U16;1;%;0;65535;RW
09C3;LvrtFirstPointTime;U16;1;ms;0;65535;RW
09C4;LvrtSecondPointVolt;U16;1;%;0;65535;RW
09C5;LvrtSecondPointTime;U16;1;ms;0;65535;RW
09C6;LvrtThirdPointVolt;U16;1;%;0;65535;RW
09C7;LvrtThirdPointTime;U16;1;ms;0;65535;RW
09C8;LvrtFourthPointVolt;U16;1;%;0;65535;RW
09C9;LvrtFourthPointTime;U16;1;ms;0;65535;RW
09CA;LvrtReactiveCurrentCoefficientK;U16;0,1;p.u.;0;65535;RW
09CB;LvrtWaitingTimeAfterVoltageRecovery;U16;1;ms;0;65535;RW
09CC;LvrtPowerBackRate;U16;1;%Pn/min;1;300;RW
09CD;OvrtInVlot;U16;1;%;0;65535;RW
09CE;OvrtFirstPointVolt;U16;1;%;0;65535;RW
09CF;OvrtFirstPointTime;U16;10;ms;0;65535;RW
09D0;OvrtSecondPointVolt;U16;1;%;0;65535;RW
09D1;OvrtSecondPointTime;U16;10;ms;0;65535;RW
09D2;OvrtThirdPointVolt;U16;1;%;0;65535;RW
09D3;OvrtThirdPointTime;U16;10;ms;0;65535;RW
09D4;OvrtFourthPointVolt;U16;1;%;0;65535;RW
09D5;OvrtFourthPointTime;U16;10;ms;0;65535;RW
09D6;OvrtReactiveCurrentCoefficientK;U16;0,1;p.u.;0;65535;RW
09D7;OvrtWaitingTimeAfterVoltageRecovery;U16;1;ms;0;65535;RW
09D8;OvrtPowerBackRate;U16;1;%Pn/min;1;300;RW
09D9;ZeroCurrentModeInLowVolt;U16;1;%;0;65535;RW
09DA;ZeroCurrentModeInHighVolt;U16;1;%;0;65535;RW
09DB;LvrtOutVolt;U16;1;%;0;65535;RW
09DC;LvrtIqVoltStart;U16;1;%;0;65535;RW
09DD;OvrtOutVolt;U16;1;%;0;65535;RW
09DE;OvrtIqVoltStart;U16;1;%;0;65535;RW
09DF;MaxUnbalanceIqPct;U16;1;%;0;65535;RW
0A00;IslandConfig;U16;;;;;RW
0A01;GFCIConfig;U16;;;;;RW
0A02;ISOConfig;U16;;;;;RW
0A03;InsulationProtectionValue;U16;1;k?;30;65535;RW
0A04;IsoLeakageCurrentLimit;U16;1;mA;1;50;RW
0A05;GFCILimit;U16;1;mA/kVA;1;50;RW
0A06;PE_N_Config;U16;;;;;RW
0A07;IslandDetectSensitivity;U16;;;;;RW
0A08;PEProtectionValue;U16;1;k?;1000;65535;RW
1000;AddressMask_Config_Basic1;U64;;;;;R
1001;;;;;;;
1002;;;;;;;
1003;;;;;;;
1004;SysTimeConfig_Year;U16;;Year;0;99;RW
1005;SysTimeConfig_Month;U16;;January;1;12;RW
1006;SysTimeConfig_Date;U16;;Day;1;31;RW
1007;SysTimeConfig_Hour;U16;;hour;0;23;RW
1008;SysTimeConfig_Minute;U16;;minutes;0;59;RW
1009;SysTimeConfig_Second;U16;;seconds;0;59;RW
100A;SysTimeConfig_Control;U16;;;1;1;RW
100B;RS485Config_Address;U16;;;1;247;RW
100C;RS485Config_Baud;U16;;;0;4;RW
100D;RS485Config_StopBit;U16;;;0;2;RW
100E;RS485Config_ParityBit;U16;;;0;4;RW
100F;RS485Config_Control;U16;;;1;1;RW
1010;PV_InputMode_Config;U16;;;0;1;RW
1011;InputType_Channel0_Config;U16;;;0;255;RW
1012;InputType_Channel1_Config;U16;;;0;255;RW
1013;InputType_Channel2_Config;U16;;;0;255;RW
1014;InputType_Channel3_Config;U16;;;0;255;RW
1015;InputType_Channel4_Config;U16;;;0;255;RW
1016;InputType_Channel5_Config;U16;;;0;255;RW
1017;InputType_Channel6_Config;U16;;;0;255;RW
1018;InputType_Channel7_Config;U16;;;0;255;RW
1019;InputType_Channel8_Config;U16;;;0;255;RW
101A;InputType_Channel9_Config;U16;;;0;255;RW
101B;InputType_Channel10_Config;U16;;;0;255;RW
101C;InputType_Channel11_Config;U16;;;0;255;RW
101D;InputType_Channel12_Config;U16;;;0;255;RW
101E;InputType_Channel13_Config;U16;;;0;255;RW
101F;InputType_Channel14_Config;U16;;;0;255;RW
1020;InputType_Channel15_Config;U16;;;0;255;RW
1021;InputType_Control;U16;;;1;1;RW
1022;SafetyUpdateFromUSB_Control;U16;;;1;1;RW
1023;AntiReflux_Control;U16;;;0;2;RW
1024;AntiReflux_Power;U16;100;W;0;65535;RW
1025;IVCurveScan_Control;U16;;;0;1;RW
1026;IVCurveScan_Period;U16;1;Minutes;5;65535;RW
1027;IVCurveScan_Oneshot;U16;;;1;1;RW
1028;IVCurveScan_ReadChannel;U16;;;0;31;RW
1029;EPS_Control;U16;;;0;2;RW
102A;EPS_WaitTime;U16;1;seconds;0;65535;RW
102B;BatteryActive_Control;U16;;;0;1;RW
102C;BatteryActive_Oneshot;U16;;;1;1;RW
102D;CT_Auto_Calibrate;U16;;;1;1;RW
102E;Italy_AutoTest;U16;;;1;2;RW
1030;EnergyStatistics_Date_Year;U16;1;Year;0;19;RW
1031;EnergyStatistics_Date_Month;U16;1;Month;1;12;RW
1032;EnergyStatistics_Date_Date;U16;1;Date;1;31;RW
1033;EnergyStatistics_Config;U16;;;;;RW
1034;Language;U16;;;0;65535;RW
1035;Parallel_Control;U16;;;0;2;RW
1036;Parallel_Master_Slave;U16;;;0;1;RW
1037;Parallel_Address;U16;;;0;10;RW
1038;UnbalancedSupport_Control;U16;;;0;1;RW
1039;PV_Generation_Ratio;U16;0,001;p.u.;800;3600;RW
103A;Energy_Purchase_Ratio;U16;0,001;p.u.;800;1500;RW
103B;Energy_Selling_Ratio;U16;0,001;p.u.;800;1500;RW
103C;Bat_Charge_Ratio;U16;0,001;p.u.;800;1500;RW
103D;Bat_Discharge_Ratio;U16;0,001;p.u.;800;1500;RW
103E;LogicInterface_Control;U16;;;0;1;RW
1040;AddressMask_Config_Basic2;U64;;;;;R
1041;;;;;;;
1042;;;;;;;
1043;;;;;;;
1044;BatConfig_ID;U16;;;0;7;RW
1045;BatConfig_Address;U16;;;0;99;RW
1046;BatConfig_Protocol;U16;;;0;65535;RW
1047;BatConfig_Voltage_Over;U16;0,1;V;0;65535;RW
1048;BatConfig_Voltage_Charge;U16;0,1;V;0;65535;RW
1049;BatConfig_Voltage_Lack;U16;0,1;V;0;65535;RW
104A;BatConfig_Voltage_Discharge_Stop;U16;0,1;V;0;65535;RW
104B;BatConfig_Current_Charge_Limit;U16;0,01;A;0;65535;RW
104C;BatConfig_Current_Discharge_Limit;U16;0,01;A;0;65535;RW
104D;BatConfig_Depth_of_Discharge;U16;1;%;1;90;RW
104E;BatConfig_End_of_Discharge;U16;1;%;1;90;RW
104F;BatConfig_Capacity;U16;1;Ah;1;65535;RW
1050;BatConfig_Voltage_Nominal;U16;0,1;V;0;65535;RW
1051;BatConfig_Cell_Type;U16;1;;0;3;RW
1052;BatConfig_EPS_Buffer;U16;1;%;5;100;RW
1053;BatConfig_Control;U16;;;;;RW
1054;BatConfig_Address2;U16;;;0;99;RW
1055;BatConfig_Address3;U16;;;0;99;RW
1056;BatConfig_Address4;U16;;;0;99;RW
1057;BatConfig_TEMPCO;I16;0,1;mV/Cell;-60;0;RW
1058;BatConfig_Voltage_Recovery_Buffer;U16;0,1;V;;;RW
1059;BatConfig_Control_Bits;U16;;;;;RW
105A;BatConfig_Voltage_Float;U16;0,1;V;;;RW
1060;PCCSampleMode;U16;;;0;2;RW
1061;Resonance_Sensitivity;U16;;;1;100;RW
1062;CT_rate;U16;;;;;RW
1063;Hard_Reflux_Config;U16;;;;;RW
1064;Dry_Contact;U16;;;0;3;RW
1065;Wet_Contact;U16;;;0;;RW
1066 ;pv_branch_current_limit;U16;0,1;A;0;65535;RW
1080;AddressMask_Config_Basic3;U64;;;;;R
1081;;;;;;;
1082;;;;;;;
1083;;;;;;;
1084;ArcingAlarmEnable;U16;;;1;;RW
1085;PeakToPeakSet;U16;1;;0x64;;RW
1086;VarianceSet;U16;1;;0x95;;RW
1087;HarmonicEnergySet;U16;1;;0x01;;RW
1088;AmplitudeVarianceSet;U16;1;;0x01;;RW
1089;TimeDomWeiSet;U16;1;;0x01;;RW
108A;FreDomWeiSet;U16;1;;0x05;;RW
108B;ArcDetectSensitivity;U16;1;;0x14;;RW
108C;ArcAlarmShutdownThreshold;U16;1;;0x05;;RW
108D;ArcSelfCheckCommand;U16;;;0x01;;RW
108E;ArcingAlarmClear;U16;1;;0x1234;0x1234;RW
108F;ArcAlarmCnt;U16;1;;;;RW
1090;AfciResult;U16;1;;;;R
1091;SelfCheckResult;U16;;;;;R
1092;SelfCheckState;U16;;;;;R
10A0;PLC_Enable_Setting;U16;;;;;RW
10A1;PLC_Com_Property;U16;NULL;NULL;;;RW
10A5;BLE_Enable_Setting;U16;NULL;NULL;;1;RW
10A6;BLE_Com_Property;U16;NULL;NULL;;65535;RW
10B0;PID_Auto_running_enable;U16;;;;1;RW
10B1;PID_Working_Start_Time;BCD16;1;Minute;;2359;RW
10B2;PID_Working_Hours;U16;1;Minute;;65535;RW
10B3;PID_Working_PV_Threshold;U16;0,1;V;;65535;RW
10B4;PID_Break_Restart_Delay;U16;1;Minute;;65535;RW
1100;AddressMask_Config_Remote1;U64;;;;;R
1101;;;;;;;
1102;;;;;;;
1103;;;;;;;
1104;Remote_On_Off_Control;U16;;;0;1;RW
1105;Power_Control;U16;;;;;RW
1106;Active_Power_Export_Limit;U16;0,1;%;0;1000;RW
1107;Active_Power_Import_Limit;U16;0,1;%;0;1000;RW
1108;Reactive_Power_Setting;I16;0,1;%;-1000;1000;RW
1109;Power_Factor_Setting;I16;0,01;p.u.;-100;100;RW
110A;Active_Power_Limit_Speed;U16;1;%;1;65535;RW
110B;Reactive_Power_Response_Time;U16;0,1;second;0;65535;RW
110C;SVG_Fixed_Reactive_Power_Setting;I16;0,1;kVar;-32768;32767;RWV
110D;;;;;;;
110E;;;;;;;
110F;;;;;;;
1110;Energy_Storage_Mode_Control;U16;;;0;4;RW
1111;Timing_ID;U16;;;0;3;RW
1112;Timing_On_Off_Control;U16;;;0;1;RW
1113;Timing_Charge_Start;U16;"11";"hoursminutes";"00";"2359";RW
1114;Timing_Charge_End;U16;"11";"hoursminutes";"00";"2359";RW
1115;Timing_Discharge_Start;U16;"11";"hoursminutes";"00";"2359";RW
1116;Timing_Discharge_End;U16;"11";"hoursminutes";"00";"2359";RW
1117;Timing_Power_Charge;U32;1;W;1;4294967296 ;RW
1118;;;;;;;
1119;Timing_Power_Discharge;U32;1;W;1;4294967296 ;RW
111A;;;;;;;
111B;Timing_Rsvd1;;;;;;
111C;Timing_Rsvd2;;;;;;
111D;Timing_Rsvd3;;;;;;
111E;Timing_Rsvd4;;;;;;
111F;Timing_Control;U16;;;1;1;RW
1120;TOU_ID;U16;;;0;7;RW
1121;TOU_On_Off_Control;U16;;;0;1;RW
1122;TOU_Charge_Start;U16;"11";"hoursminutes";"00";"2359";RW
1123;TOU_Charge_End;U16;"11";"hoursminutes";"00";"2359";RW
1124;TOU_Charge_Target_SOC;U16;1;%;30;100;RW
1125;TOU_Charge_Power;U32;1;W;1;4294967296 ;RW
1126;;;;;;;
1127;TOU_Executed_Date_Start;U16;"11";"monthday";"11";"1231";RW
1128;TOU_Executed_Date_End;U16;"11";"monthday";"11";"1231";RW
1129;TOU_Executed_Day_of_Week;U16;;;;;RW
112A;TOU_Rsvd1;;;;;;
112B;TOU_Rsvd2;;;;;;
112C;TOU_Rsvd3;;;;;;
112D;TOU_Rsvd4;;;;;;
112E;TOU_Rsvd5;;;;;;
112F;TOU_Control;U16;;;1;1;RW
1130;Peak_Shaving_Discharge_Threshold;U32;1;W;100;;RW
1131;;;;;;;
1132;Peak_Shaving_Charge_Threshold;U32;1;W;100;;RW
1133;;;;;;;
1140;AddressMask_Config_Remote2;U64;;;;;R
1141;;;;;;;
1142;;;;;;;
1143;;;;;;;
1144;Off_Grid_Charge_Source;U16;;;0;2;RW
1145;Off_Grid_Grid_Power;U16;0,01;kW;0;65535;RW
1146;Off_Grid_DG_Power;U16;0,01;kW;0;65535;RW
1180;AddressMask_Config_Remote3;U64;;;;;R
1181;;;;;;;
1182;;;;;;;
